element,name,GW,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,transfers_in,transfers_out,transfers_balance,selected,value,round,influence,creativity,threat,clearances_blocks_interceptions,recoveries,tackles,position,team,opponent_team,was_home,kickoff_time,fixture,team_h_score,team_a_score
602,Humphreys,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1150,300,850.0,0.0,45.0,1,0.0,0.0,0.0,0,0,0,MID,Ipswich Town,Sunderland,True,2026-08-22T14:00:00Z,8,2.0,1.0
260,Wilson,1,3,65,0,0,1,0,0,0,0,0,0,0,0,8,2.6,0.0,0.02,0.02,0.53,1,12833,46093,-33260.0,5.7,65.0,1,6.2,15.3,4.0,0,0,2,MID,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
326,Perri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,293,4282,-3989.0,0.6,45.0,1,0.0,0.0,0.0,0,0,0,GK,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
327,Bijol,1,10,90,0,0,1,0,0,0,0,0,0,0,2,28,3.9,0.11,0.0,0.11,0.66,1,37170,6653,30517.0,0.9,50.0,1,23.6,0.4,15.0,11,5,1,DEF,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
329,Rodon,1,6,90,0,0,1,0,0,0,0,0,0,0,0,21,3.4,0.03,0.06,0.09,0.66,1,16686,9956,6730.0,3.6,45.0,1,14.4,14.4,5.0,6,1,1,DEF,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
330,Bogle,1,6,90,0,0,1,0,0,0,0,0,0,0,0,24,0.8,0.0,0.0,0.0,0.66,1,5173,2440,2733.0,0.6,45.0,1,7.0,1.1,0.0,2,3,1,DEF,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
331,Gudmundsson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,56,890,-834.0,0.0,45.0,1,0.0,0.0,0.0,0,0,0,DEF,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
332,Justin,1,10,90,0,0,1,0,0,0,0,0,0,0,2,28,2.9,0.0,0.01,0.01,0.66,1,33909,7355,26554.0,1.1,45.0,1,24.6,2.3,2.0,6,4,6,DEF,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
333,Bornauw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,149,-149.0,0.0,45.0,1,0.0,0.0,0.0,0,0,0,DEF,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
334,Muharemović,1,6,90,0,0,1,0,0,0,0,0,0,0,0,25,3.3,0.09,0.0,0.09,0.66,1,18524,9365,9159.0,3.4,50.0,1,15.6,0.6,17.0,7,1,0,DEF,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
